year,county,cause,sex,age_code,N
110,0101,01,1,25,1
110,0101,02,1,16,1
110,0101,02,1,20,2
110,0101,02,1,24,2
110,0101,02,1,26,1
110,0101,02,2,21,1
110,0101,02,2,26,1
110,0101,03,1,21,1
110,0101,03,1,22,1
110,0101,03,1,23,1
110,0101,03,1,24,1
110,0101,03,2,10,1
110,0101,03,2,13,1
110,0101,03,2,21,1
110,0101,03,2,22,1
110,0101,03,2,23,1
110,0101,03,2,24,2
110,0101,03,2,25,1
110,0101,04,1,20,1
110,0101,04,2,21,2
110,0101,06,1,09,1
110,0101,06,1,14,1
110,0101,06,1,15,4
110,0101,06,1,16,11
110,0101,06,1,17,19
110,0101,06,1,18,21
110,0101,06,1,19,35
110,0101,06,1,20,23
110,0101,06,1,21,24
110,0101,06,1,22,17
110,0101,06,1,23,21
110,0101,06,1,24,16
110,0101,06,1,25,5
110,0101,06,2,11,1
110,0101,06,2,12,1
110,0101,06,2,13,1
110,0101,06,2,14,1
110,0101,06,2,15,6
110,0101,06,2,16,14
110,0101,06,2,17,16
110,0101,06,2,18,20
110,0101,06,2,19,18
110,0101,06,2,20,18
110,0101,06,2,21,22
110,0101,06,2,22,17
110,0101,06,2,23,21
110,0101,06,2,24,19
110,0101,06,2,25,1
110,0101,06,2,26,3
110,0101,07,1,16,1
110,0101,07,1,18,1
110,0101,07,1,19,1
110,0101,07,1,21,1
110,0101,07,1,22,1
110,0101,07,1,23,4
110,0101,07,1,24,4
110,0101,07,2,18,1
110,0101,07,2,23,1
110,0101,07,2,24,2
110,0101,07,2,26,1
110,0101,08,2,22,1
110,0101,08,2,24,1
110,0101,09,1,14,1
110,0101,09,1,17,3
110,0101,09,1,18,1
110,0101,09,1,19,2
110,0101,09,1,20,2
110,0101,09,1,21,5
110,0101,09,1,22,3
110,0101,09,1,23,4
110,0101,09,1,24,7
110,0101,09,1,25,1
110,0101,09,2,16,2
110,0101,09,2,17,1
110,0101,09,2,18,1
110,0101,09,2,19,3
110,0101,09,2,21,2
110,0101,09,2,22,5
110,0101,09,2,23,7
110,0101,09,2,24,6
110,0101,09,2,25,1
110,0101,09,2,26,2
110,0101,10,1,20,1
110,0101,10,1,21,3
110,0101,10,1,22,1
110,0101,10,1,23,3
110,0101,10,1,24,7
110,0101,10,1,25,2
110,0101,10,2,20,1
110,0101,10,2,22,1
110,0101,10,2,23,6
110,0101,10,2,24,6
110,0101,10,2,25,5
110,0101,10,2,26,3
110,0101,12,1,20,1
110,0101,12,1,22,1
110,0101,12,2,19,1
110,0101,13,1,21,3
110,0101,13,1,22,3
110,0101,13,1,23,2
110,0101,13,1,25,1
110,0101,13,2,20,1
110,0101,13,2,21,1
110,0101,13,2,22,2
110,0101,13,2,23,5
110,0101,13,2,24,1
110,0101,14,1,23,1
110,0101,14,1,24,2
110,0101,15,1,17,1
110,0101,15,1,18,1
110,0101,15,1,19,4
110,0101,15,1,20,4
110,0101,15,1,21,3
110,0101,15,1,22,5
110,0101,15,1,23,4
110,0101,15,1,24,7
110,0101,15,1,25,5
110,0101,15,1,26,2
110,0101,15,2,19,1
110,0101,15,2,20,1
110,0101,15,2,21,2
110,0101,15,2,22,3
110,0101,15,2,23,8
110,0101,15,2,24,8
110,0101,15,2,25,3
110,0101,15,2,26,3
110,0101,16,1,10,1
110,0101,16,1,13,1
